consistent|adj. 坚持的一贯的始终如一的一致的|
maintenance|n. 维持保持维修生活费用 供给抚养主张|
preferable|adj.更可取的更好的更合意的|
intellectual|n. 知识分子凭理智做事者 adj.智力的|
render|vt. 表示给予使得使成为提供报答|
comparative|adj.比较的相对的n. 对手|
accumulate|vt. 积累累加堆积vi.堆积累积|
fundamental|adj. 基础的基本的根本的重要的n.基本原理|
derive|vt. 取得得自起源引申于vi. 起源|
commission|n. 委任(状)任官令委员会佣金犯罪行为|
circumstance|n. 情况条件境遇环境(复数)境况事件详情|
abundant|adj.丰富的充裕的大量的|
indignant|adj. 愤慨的义愤的愤愤不平的|
prejudice|n. 偏见成见伤害vt. 使...存偏见伤害|
acute|adj.尖的锐的敏锐的敏锐的激烈的|
deduce|vt. 演绎推论推断溯源|
eliminate|vt. 消灭消除排除 除去 剔除忽略|
refute|vt. 驳斥反驳驳倒证明|
utilize|vt. 利用|
prosperous|adj.繁荣的昌盛的兴旺的|
immense|adj.巨大的广大的非常好的极好的|
discipline|n. 纪律训练惩罚学科 vt. 训练惩罚|
undoubtedly|adv. 无容置疑肯定地|
discharge|vt. vi. 释放排出放出解雇 解除放电清偿债务|
attribute|vt. 把...归因于属于n. 属性特征标志 象征|
genuine|adj.真的真正的真实的诚恳的|
prohibit|vt. 禁止阻止妨碍|
contemporary|adj. 当代的同时代的同时的现代的n.同时代的人|
dissolve|vt. 使溶解 解散 消除解决(问题)使沮丧|
accommodation|n. 招待设备 预定铺位住处膳宿适应和解|
surrender|v. 交出让与投降屈服n.投降屈服放弃|
luxury|n. 奢侈奢华奢侈品|
competent|adj. 有能力的胜任的足够的应该做的|
significance|n. 意义意味重要性|
zealous|adj.热心的热情的狂热的热衷的|
aggressive|adj. 侵略的好斗的攻击性的有进取心的强烈的|
appreciate|vt. 欣赏感激赏识领会充分意识感谢 vi. 增值|
gratitude|adj. 感激感谢感恩n. 感恩之心|
diverse|adj. 不一样的相异的不同的多种多样的|
postpone|vt. 延迟推迟延缓|
evaluate|vt. 评估 评价估...的价|
interpret|vt. 解释说明口译 翻译 演出|
equivalent|adj. 相等的等量的n.相等物|
verify|vt. 证实查证证明核实|
obtain|vt. 获得得到买到 vi.通用|
submit|vt. 使服从屈服呈送递交主张vi.服从屈从忍受|
consequence|n. 结果后果|
spontaneous|adj.自发的自然产生的本能的|
condemn|vt. 谴责指责判刑官方宣称(某事物)有缺陷|
tedious|adj. 冗长乏味的单调乏味的沉闷的|
reinforce|vt. 增援 支援加强 vi.得到加强|
dispute|vi. 争论争执 vt.争论质疑争夺抵抗n.争论争吵|
accordance|n.一致和谐授予符合同意|
dispose|vi. 去掉丢掉销毁vt.倾向于处置|
efficiency|n. 效率功效效能|
primitive|adj. 原始的粗糙的n. 原始人文艺复兴前的艺术家|
acceleration|n. 加速促进加速度|
purchase|n. 买 购买 购买的物品支点紧握抓紧|
anticipate|vt. 预料预期期望抢...前语言提前使用vi.预期|
sustain|vt. 支撑支持供养忍受承受经受维持认可|
scorn|n. 轻蔑嘲笑被叱责的人vt.轻蔑不屑做|
apparatus|n. 装置器具 器械 仪器 器官 机构组织|
rational|adj. 理性的合理的出于理性的能推理的|
vanish|vi. 突然不见消失绝迹vt. 消失|
tolerate|vt. 忍受容忍宽恕|
superficial|adj.表面的肤浅的|
elaborate|adj. 复杂的精心制作的精细的详尽的精心的|
conscious|adj. 意识到的神志清醒的意识到的自觉的有意的|
embarrass|vt. 使窘迫使为难阻碍 vi.变得困窘|
critical|adj. 决定性的批评的危险的挑剔的临界的|
sacred|adj.上帝的神圣的受尊重的|
conceal|vt. 把...隐藏起来掩盖|
appropriate|adj. 适当的恰当的 相称的|
solemn|adj.庄严的严肃的隆重的|
ambition|n. 雄心,抱负,野心,精力vt.有..野心追求|
progressive|adj. 进步的向前进的渐进的n.进步人士|
exclude|vt. 把...排除在外拒绝[计算机] 排除|
conventional|adj.普通的习惯的传统的惯例的常规的|
substitute|n. 代替人代用品vt.用...代替代以代替|
exterior|adj. 外部的外在的表面的对外的n.外部|
adequate|adj.足够的充足的适当的可以胜任的|
accustomed|adj. 惯常的习惯的|
supreme|adj.最高的最大的至上的极度的|
submerge|vt. 使浸没潜入水中覆盖 vi.潜入水中浸没|
intermediate|adj.中间的中级的n.中间体|
fatigue|n. 疲劳劳累累活 adj.疲劳的|
approve|vt. 赞成称许批准核准证实 vi. 赞同|
cordial|adj.真诚的诚恳的热忱的兴奋的n.兴奋剂补品|
auxiliary|n. 帮助者辅助物助动词 adj. 辅助的附属的附加的|
evaporate|vt. 使蒸发 vi.蒸发失去水分消失|
severe|adj. 严格的严厉的剧烈的严重的严峻的|
proclaim|vt. 宣告宣布表明公布赞扬显示出|
erect|vt. 建造建立使竖立 adj.直立的竖立的笔直的|
soluble|adj.可溶的可以解决的|
acquaintance|n. 认识了解熟人|
splendid|adj. 壮丽的显著的极好的辉煌的壮观的杰出的|
distress|n. 忧虑悲伤不幸苦恼 贫困忧郁恶化|
awkward|adj. 笨拙的尴尬的|
vanity|n. 虚荣心虚夸浮华无价值的东西|
arbitrary|adj.随心所欲的 专断的 任意的 专制的 武断的|